linkId	fromNode	toNode	meanTime	stdTime
1000117	1	117	65	1
2000087	2	87	65	5
3000074	3	74	65	5
4000233	4	233	65	0
5000165	5	165	65	8
6000213	6	213	65	6
7000253	7	253	65	6
8000411	8	411	60	3
9000379	9	379	60	4
9000395	9	395	60	8
10000338	10	338	60	6
10000362	10	362	60	8
11000309	11	309	60	1
12000275	12	275	60	3
13000262	13	262	60	5
14000257	14	257	60	5
15000254	15	254	60	4
16000263	16	263	60	3
17000276	17	276	60	5
18000322	18	322	60	2
18000348	18	348	60	3
19000364	19	364	60	2
19000380	19	380	60	6
20000397	20	397	60	0
21000412	21	412	60	6
21000413	21	413	60	8
22000414	22	414	60	2
22000415	22	415	60	4
23000416	23	416	60	1
24000266	24	266	9	1
24000267	24	267	9	1
25000268	25	268	9	1
25000269	25	269	9	0
26000273	26	273	9	0
26000274	26	274	9	1
27000302	27	302	9	0
27000303	27	303	9	0
28000303	28	303	9	0
28000304	28	304	9	1
29000308	29	308	9	1
29000337	29	337	9	1
30000340	30	340	9	0
30000341	30	341	9	0
31000329	31	329	9	0
31000330	31	330	9	0
32000332	32	332	9	0
32000333	32	333	9	1
33000337	33	337	9	1
33000361	33	361	9	1
34000369	34	369	9	1
34000385	34	385	9	0
35000373	35	373	9	0
35000389	35	389	9	1
36000378	36	378	9	0
36000394	36	394	9	0
37000401	37	401	9	0
37000402	37	402	9	0
38000406	38	406	9	1
38000407	38	407	9	0
39000266	39	266	88	10
39000267	39	267	88	10
40000268	40	268	79	10
40000269	40	269	79	2
41000273	41	273	60	5
41000274	41	274	60	2
42000302	42	302	60	4
42000303	42	303	60	5
43000303	43	303	92	6
43000304	43	304	92	2
44000308	44	308	60	9
44000337	44	337	180	17
45000340	45	340	60	4
45000341	45	341	60	8
46000329	46	329	60	8
46000330	46	330	60	7
47000332	47	332	55	3
47000333	47	333	56	5
48000337	48	337	60	1
48000361	48	361	60	2
49000369	49	369	60	7
49000385	49	385	60	9
50000373	50	373	60	0
50000389	50	389	60	5
51000378	51	378	60	2
51000394	51	394	60	8
52000401	52	401	60	2
52000402	52	402	60	2
53000406	53	406	65	3
53000407	53	407	64	3
54000056	54	56	20	0
54000230	54	230	20	0
55000059	55	59	20	1
56000102	56	102	20	0
57000054	57	54	20	1
57000235	57	235	20	0
58000137	58	137	20	2
58000145	58	145	20	2
59000146	59	146	20	0
60000102	60	102	20	1
60000230	60	230	20	3
61000136	61	136	20	2
62000002	62	2	65	2
63000062	63	62	65	1
64000063	64	63	33	2
64000189	64	189	20	1
65000064	65	64	21	0
66000065	66	65	14	0
67000066	67	66	16	0
67000260	67	260	30	2
68000067	68	67	105	11
69000068	69	68	16	0
69000258	69	258	30	3
70000069	70	69	84	0
71000070	71	70	16	2
71000255	71	255	30	3
72000071	72	71	16	2
73000072	73	72	28	4
73000141	73	141	20	3
74000073	74	73	65	3
75000003	75	3	65	8
76000075	76	75	65	5
77000076	77	76	28	1
77000141	77	141	20	2
78000077	78	77	16	1
79000078	79	78	16	1
79000256	79	256	30	2
80000079	80	79	84	10
81000080	81	80	16	0
81000259	81	259	30	3
82000081	82	81	105	13
83000082	83	82	16	1
83000261	83	261	30	0
84000083	84	83	14	1
85000084	85	84	21	3
86000085	86	85	33	2
86000189	86	189	20	2
87000086	87	86	65	3
88000001	88	1	65	7
89000088	89	88	65	2
90000089	90	89	16	0
90000293	90	293	30	0
91000090	91	90	14	0
92000091	92	91	19	2
93000092	93	92	21	1
93000183	93	183	20	3
93000195	93	195	20	1
94000093	94	93	42	6
95000094	95	94	16	0
95000290	95	290	30	1
96000095	96	95	75	10
97000096	97	96	16	1
97000288	97	288	30	2
98000097	98	97	37	3
99000098	99	98	16	2
99000283	99	283	30	3
100000099	100	99	24	1
101000100	101	100	16	2
101000278	101	278	30	1
102000101	102	101	46	2
103000059	103	59	20	2
103000061	103	61	20	2
103000237	103	237	20	3
104000103	104	103	46	3
105000104	105	104	16	0
105000279	105	279	30	2
106000105	106	105	24	0
107000106	107	106	16	0
107000284	107	284	30	4
108000107	108	107	37	4
109000108	109	108	16	0
109000289	109	289	30	2
110000109	110	109	75	2
111000110	111	110	16	1
111000291	111	291	30	4
112000111	112	111	42	2
113000112	113	112	21	0
113000183	113	183	20	3
113000195	113	195	20	3
114000113	114	113	19	0
115000114	115	114	14	1
116000115	116	115	16	0
116000294	116	294	30	1
117000116	117	116	65	8
118000005	118	5	65	9
119000118	119	118	65	9
120000119	120	119	16	2
120000400	120	400	30	1
121000120	121	120	33	4
122000121	122	121	37	1
123000122	123	122	16	0
123000382	123	382	30	3
124000123	124	123	52	6
125000124	125	124	16	0
125000366	125	366	30	4
126000125	126	125	52	0
127000126	127	126	16	2
127000350	127	350	30	1
128000127	128	127	37	3
129000128	129	128	19	0
130000129	130	129	16	2
130000324	130	324	30	3
131000130	131	130	52	5
132000131	132	131	19	0
132000314	132	314	30	1
133000132	133	132	28	4
134000133	134	133	21	2
135000134	135	134	16	2
135000298	135	298	30	3
136000135	136	135	9	1
137000136	137	136	38	2
138000060	138	60	20	0
138000137	138	137	8	0
138000236	138	236	20	3
139000138	139	138	65	4
140000139	140	139	16	0
140000265	140	265	30	0
141000140	141	140	56	1
142000072	142	72	20	0
142000076	142	76	20	3
143000142	143	142	56	0
144000143	144	143	16	2
144000264	144	264	30	2
145000144	145	144	54	7
146000145	146	145	7	1
147000057	147	57	20	3
147000146	147	146	46	5
148000147	148	147	14	0
149000148	149	148	16	0
149000297	149	297	30	0
150000149	150	149	21	0
151000150	151	150	14	0
152000151	152	151	37	4
152000310	152	310	30	1
153000152	153	152	42	5
154000153	154	153	16	1
154000323	154	323	30	2
155000154	155	154	19	1
156000155	156	155	37	4
157000156	157	156	16	2
157000349	157	349	30	2
158000157	158	157	52	2
159000158	159	158	16	0
159000365	159	365	30	2
160000159	160	159	52	7
161000160	161	160	16	2
161000381	161	381	30	4
162000161	162	161	37	0
163000162	163	162	33	2
164000163	164	163	16	1
164000399	164	399	30	3
165000164	165	164	65	8
166000006	166	6	65	0
167000166	167	166	65	8
168000167	168	167	16	2
168000409	168	409	30	4
169000168	169	168	46	1
170000169	170	169	21	3
171000170	171	170	4	0
171000216	171	216	20	1
172000171	172	171	17	0
172000393	172	393	30	1
173000172	173	172	30	3
174000173	174	173	14	2
175000174	175	174	16	0
175000377	175	377	30	3
176000175	176	175	49	1
177000176	177	176	16	1
177000360	177	360	30	4
178000177	178	177	49	5
179000178	179	178	16	0
179000336	179	336	30	1
180000179	180	179	114	5
181000180	181	180	16	1
181000307	181	307	30	4
182000181	182	181	9	1
183000182	183	182	24	0
184000092	184	92	20	3
184000112	184	112	20	0
184000183	184	183	24	3
185000184	185	184	44	2
186000185	186	185	24	0
187000186	187	186	16	2
187000272	187	272	30	4
188000187	188	187	54	3
189000188	189	188	46	1
190000063	190	63	20	1
190000085	190	85	20	2
191000190	191	190	46	2
192000191	192	191	54	2
193000192	193	192	16	0
193000271	193	271	30	0
194000193	194	193	24	2
195000194	195	194	44	1
196000092	196	92	20	3
196000112	196	112	20	3
196000195	196	195	24	3
197000196	197	196	24	0
198000197	198	197	9	1
199000198	199	198	16	2
199000306	199	306	30	2
200000199	200	199	114	2
201000200	201	200	16	0
201000335	201	335	30	2
202000201	202	201	49	0
203000202	203	202	16	0
203000359	203	359	30	2
204000203	204	203	49	7
205000204	205	204	16	1
205000376	205	376	30	4
206000205	206	205	14	0
207000206	207	206	30	4
208000207	208	207	17	2
209000208	209	208	4	0
209000392	209	392	30	3
210000209	210	209	21	0
210000250	210	250	20	0
211000210	211	210	46	2
212000211	212	211	16	1
212000408	212	408	30	3
213000212	213	212	65	4
214000007	214	7	65	8
215000214	215	214	65	6
216000215	216	215	24	1
217000169	217	169	20	3
217000216	217	216	35	4
218000217	218	217	17	1
218000392	218	392	30	2
219000218	219	218	46	2
220000219	220	219	30	0
220000363	220	363	30	3
221000220	221	220	70	4
222000221	222	221	19	2
223000222	223	222	26	0
223000346	223	346	30	2
224000223	224	223	58	8
225000224	225	224	37	4
225000330	225	330	30	0
226000225	226	225	56	7
227000226	227	226	24	1
227000311	227	311	30	4
228000227	228	227	65	8
229000228	229	228	28	0
229000277	229	277	30	2
230000229	230	229	7	1
231000056	231	56	20	2
231000230	231	230	18	0
232000058	232	58	20	2
232000231	232	231	19	0
233000232	233	232	65	6
234000004	234	4	65	1
235000234	235	234	65	5
236000235	236	235	7	1
237000236	237	236	15	0
238000055	238	55	20	3
238000061	238	61	20	3
238000237	238	237	14	2
239000238	239	238	14	0
240000239	240	239	28	4
240000299	240	299	30	0
241000240	241	240	56	5
242000241	242	241	37	3
242000317	242	317	30	1
243000242	243	242	56	6
244000243	244	243	24	0
244000339	244	339	30	4
245000244	245	244	63	4
246000245	246	245	37	0
246000347	246	347	30	0
247000246	247	246	70	0
248000247	248	247	24	1
248000374	248	374	30	3
249000248	249	248	54	0
250000249	250	249	22	0
251000250	251	250	3	0
251000391	251	391	30	0
252000208	252	208	20	3
252000251	252	251	31	0
253000252	253	252	65	5
254000015	254	15	60	0
254000255	254	255	120	2
255000070	255	70	30	3
255000254	255	254	120	6
255000256	255	256	30	3
256000078	256	78	30	1
256000255	256	255	30	0
256000266	256	266	115	17
257000014	257	14	60	7
257000258	257	258	120	4
258000068	258	68	30	4
258000257	258	257	120	16
258000259	258	259	30	3
259000080	259	80	30	4
259000258	259	258	30	4
259000267	259	267	115	6
260000066	260	66	30	4
260000261	260	261	30	3
261000082	261	82	30	0
261000260	261	260	30	1
261000269	261	269	112	16
262000013	262	13	60	8
262000273	262	273	120	2
263000016	263	16	60	2
263000264	263	264	120	14
264000143	264	143	30	4
264000263	264	263	120	7
264000265	264	265	30	3
265000139	265	139	30	3
265000264	265	264	30	4
265000266	265	266	60	8
266000024	266	24	9	0
266000039	266	39	88	1
266000256	266	256	115	3
266000265	266	265	60	5
266000277	266	277	215	22
267000024	267	24	9	0
267000039	267	39	88	1
267000259	267	259	115	1
267000268	267	268	60	4
267000281	267	281	98	11
268000025	268	25	9	1
268000040	268	40	79	7
268000267	268	267	60	1
268000287	268	287	103	11
269000025	269	25	9	0
269000040	269	40	79	2
269000261	269	261	112	3
269000270	269	270	60	1
269000290	269	290	150	19
270000269	270	269	60	2
270000271	270	271	35	4
271000192	271	192	30	3
271000270	271	270	35	4
271000272	271	272	30	1
272000186	272	186	30	0
272000271	272	271	30	4
272000273	272	273	137	4
273000026	273	26	9	1
273000041	273	41	60	9
273000262	273	262	120	10
273000272	273	272	17	2
273000292	273	292	120	3
274000026	274	26	9	0
274000041	274	41	60	9
274000275	274	275	120	15
274000293	274	293	85	1
275000012	275	12	60	5
275000274	275	274	120	11
276000017	276	17	60	0
276000296	276	296	120	7
277000228	277	228	30	1
277000266	277	266	215	29
277000299	277	299	43	0
278000100	278	100	30	1
278000279	278	279	30	0
279000104	279	104	30	1
279000278	279	278	30	1
279000280	279	280	25	1
280000279	280	279	25	3
280000300	280	300	25	1
281000267	281	267	98	0
281000282	281	282	35	2
282000281	282	281	35	5
282000283	282	283	22	2
283000098	283	98	30	3
283000282	283	282	22	0
283000284	283	284	30	1
284000106	284	106	30	0
284000283	284	283	30	0
284000285	284	285	17	0
285000284	285	284	17	2
285000286	285	286	35	5
286000285	286	285	35	1
286000302	286	302	25	3
287000268	287	268	103	4
287000288	287	288	43	6
288000096	288	96	30	4
288000287	288	287	43	6
288000289	288	289	30	0
289000108	289	108	30	3
289000288	289	288	30	4
289000303	289	303	73	3
290000094	290	94	30	3
290000269	290	269	150	7
290000291	290	291	30	2
291000110	291	110	30	1
291000290	291	290	30	2
291000304	291	304	77	3
292000273	292	273	120	3
292000305	292	305	112	15
293000089	293	89	30	1
293000274	293	274	85	12
293000294	293	294	30	1
294000115	294	115	30	4
294000293	294	293	30	3
294000295	294	295	17	0
295000294	295	294	17	1
295000308	295	308	43	4
296000276	296	276	120	8
296000297	296	297	25	2
296000310	296	310	95	3
297000148	297	148	30	3
297000296	297	296	25	3
297000298	297	298	30	0
298000134	298	134	30	0
298000297	298	297	30	2
298000299	298	299	68	6
299000239	299	239	30	2
299000277	299	277	43	1
299000298	299	298	68	6
