iteration,local_LB,local_UB,LB,UB,gap
1,829.0,893.5,829.0,893.5,0.07218802462227196
2,845.12,910.39,845.12,893.5,0.05414661443760492
3,845.12,898.05,845.12,893.5,0.05414661443760492
4,864.21,965.43,864.21,893.5,0.03278119753777276
5,869.93,892.75,869.93,892.75,0.025561467376085185
6,872.41,893.12,872.41,892.75,0.022783534024082924
7,875.73,932.13,875.73,892.75,0.019064687762531483
8,876.79,951.6,876.79,892.75,0.017877345281433813
9,878.36,905.11,878.36,892.75,0.016118734248109758
10,880.45,886.55,880.45,886.55,0.006880604590829518
11,886.55,886.55,886.55,886.55,0.0
CPU time 0.5732 second
