iteration,local_LB,local_UB,LB,UB,gap
1,4325.08,4515.55,4325.08,4515.55,0.042180908
2,4328.78,4399.94,4328.78,4399.94,0.016172948
3,4328.78,4328.65,4328.78,4328.65,-3.00E-05
4,4328.78,4328.65,4328.78,4328.65,-3.00E-05
5,4328.78,4328.65,4328.78,4328.65,-3.00E-05
6,4328.78,4328.65,4328.78,4328.65,-3.00E-05
7,4328.78,4328.65,4328.78,4328.65,-3.00E-05
8,4328.78,4328.65,4328.78,4328.65,-3.00E-05
9,4328.78,4328.65,4328.78,4328.65,-3.00E-05
10,4328.78,4328.65,4328.78,4328.65,-3.00E-05
CPU time 38.1588 second,,,,,
