iteration,local_LB,local_UB,LB,UB,gap
1,4388.64,4439.68,4388.64,4439.68,0.011496324059391659
2,4394.86,6415.64,4394.86,4439.68,0.010095322185382869
3,4408.85,5823.64,4408.85,4439.68,0.006944194176156823
4,4427.89,4669.39,4427.89,4439.68,0.0026555967997693446
5,4435.83,4501.31,4435.83,4439.68,0.0008671796165490224
6,4438.35,4438.34,4438.35,4438.34,-2.2530946255172605e-06
7,4438.35,4438.34,4438.35,4438.34,-2.2530946255172605e-06
8,4438.35,4438.34,4438.35,4438.34,-2.2530946255172605e-06
9,4438.35,4438.34,4438.35,4438.34,-2.2530946255172605e-06
10,4438.35,4438.34,4438.35,4438.34,-2.2530946255172605e-06
CPU time 40.3436 second
