linkId	fromNode	toNode	meanTime	stdTime
1780009883	1780	9883	719	10
1786006987	1786	6987	593	36
1788006264	1788	6264	719	22
1791010462	1791	10462	76	1
1791010463	1791	10463	42	1
1791012973	1791	12973	26	2
1792001821	1792	1821	54	6
1792004238	1792	4238	15	1
1792011563	1792	11563	50	2
1792011564	1792	11564	54	0
1793002577	1793	2577	53	1
1793002630	1793	2630	51	5
1793010456	1793	10456	26	1
1793010457	1793	10457	51	6
1794001799	1794	1799	56	3
1794001800	1794	1800	62	0
1794012882	1794	12882	16	2
1795001797	1795	1797	51	1
1795001798	1795	1798	102	7
1795010457	1795	10457	60	4
1796001797	1796	1797	50	3
1796010457	1796	10457	50	5
1796010458	1796	10458	22	0
1797001795	1797	1795	51	0
1797001796	1797	1796	50	5
1797001801	1797	1801	59	8
1797010464	1797	10464	90	8
1798001795	1798	1795	102	15
1798010463	1798	10463	52	5
1798010464	1798	10464	51	1
1798010469	1798	10469	45	2
1799001794	1799	1794	56	1
1799004236	1799	4236	43	6
1799011562	1799	11562	26	3
1800001794	1800	1794	62	1
1800004237	1800	4237	81	11
1800011569	1800	11569	49	2
1801001797	1801	1797	59	4
1801001807	1801	1807	130	13
1801005117	1801	5117	84	9
1801010458	1801	10458	71	5
1802002733	1802	2733	6	0
1802005123	1802	5123	17	0
1802010458	1802	10458	63	5
1802012915	1802	12915	110	1
1803002732	1803	2732	32	2
1803002733	1803	2733	24	0
1804002732	1804	2732	29	1
1804002733	1804	2733	26	0
1805002734	1805	2734	29	2
1805002735	1805	2735	22	3
1806002734	1806	2734	34	2
1806002735	1806	2735	31	4
1807001801	1807	1801	130	10
1807005110	1807	5110	35	1
1807005111	1807	5111	14	0
1808001809	1808	1809	68	4
1808001886	1808	1886	91	6
1808005111	1808	5111	45	5
1808010314	1808	10314	93	4
1809001808	1809	1808	68	1
1809001811	1809	1811	22	2
1809010312	1809	10312	82	12
1809010459	1809	10459	58	4
1810001824	1810	1824	68	6
1810004238	1810	4238	29	1
1810011569	1810	11569	64	0
1810011570	1810	11570	47	5
1811001809	1811	1809	22	1
1811001812	1811	1812	46	6
1811003996	1811	3996	89	11
1811010459	1811	10459	54	6
1812001811	1812	1811	46	2
1812002732	1812	2732	94	13
1812010310	1812	10310	63	2
1812010453	1812	10453	46	1
1813001816	1813	1816	75	10
1813002633	1813	2633	37	2
1813010310	1813	10310	47	7
1813012928	1813	12928	43	6
1814005127	1814	5127	29	4
1814010311	1814	10311	23	0
1814012928	1814	12928	57	2
1815001821	1815	1821	46	3
1815006496	1815	6496	49	5
1815011570	1815	11570	23	1
1816001813	1816	1813	75	11
1816001817	1816	1817	73	4
1816001820	1816	1820	90	10
1816003996	1816	3996	58	4
1817001816	1817	1816	73	2
1817002637	1817	2637	23	0
1817005125	1817	5125	35	1
1817010313	1817	10313	116	13
1818001819	1818	1819	31	4
1818005126	1818	5126	31	1
1818005808	1818	5808	88	11
1818011867	1818	11867	8	0
1819001818	1819	1818	31	0
1819005125	1819	5125	19	1
1819011868	1819	11868	144	12
1820001816	1820	1816	90	8
1820009636	1820	9636	34	0
1820010312	1820	10312	44	4
1820010313	1820	10313	65	0
1821001792	1821	1792	54	0
1821001815	1821	1815	46	4
1822001836	1822	1836	12	0
1822011574	1822	11574	16	2
1822011575	1822	11575	138	18
1823001822	1823	1822	124	17
1823001838	1823	1838	64	4
1823001839	1823	1839	19	1
1823011575	1823	11575	65	1
1824001810	1824	1810	68	9
1824001828	1824	1828	41	1
1824001832	1824	1832	53	6
1825001826	1825	1826	84	11
1825005112	1825	5112	22	3
1825011868	1825	11868	30	4
1825012261	1825	12261	120	7
1826001825	1826	1825	84	12
1826005808	1826	5808	161	5
1826011869	1826	11869	60	4
1826011888	1826	11888	59	3
1827002279	1827	2279	80	11
1827002281	1827	2281	46	2
1827010932	1827	10932	81	3
1827010935	1827	10935	62	4
1828001824	1828	1824	41	0
1828001835	1828	1835	79	4
1828001838	1828	1838	31	3
1828011575	1828	11575	72	6
1829002333	1829	2333	61	0
1829004986	1829	4986	115	15
1829006472	1829	6472	18	2
1829010935	1829	10935	86	8
1830002285	1830	2285	81	4
1830002295	1830	2295	22	0
1830004985	1830	4985	45	6
1830010936	1830	10936	48	5
1831002286	1831	2286	90	9
1831002293	1831	2293	27	0
1831010936	1831	10936	82	9
1831012941	1831	12941	73	0
1832001824	1832	1824	53	1
1832001835	1832	1835	44	6
1832011570	1832	11570	82	7
1833002297	1833	2297	90	6
1833010937	1833	10937	120	8
1833011651	1833	11651	81	5
1834002297	1834	2297	49	2
1834002723	1834	2723	53	6
1834009658	1834	9658	108	4
1834010719	1834	10719	90	12
1835001828	1835	1828	79	11
1835001832	1835	1832	44	6
1835004677	1835	4677	120	16
1835011576	1835	11576	38	3
1836001822	1836	1822	12	1
1836001839	1836	1839	128	9
1836011580	1836	11580	83	10
1837002723	1837	2723	91	8
1837010714	1837	10714	58	2
1837010715	1837	10715	90	5
1837010719	1837	10719	72	10
1838001823	1838	1823	64	1
1838001828	1838	1828	31	4
1838011576	1838	11576	70	8
1838011582	1838	11582	64	1
1839001823	1839	1823	19	2
1839011581	1839	11581	53	3
1840009652	1840	9652	78	1
1840010708	1840	10708	11	1
1840010715	1840	10715	91	10
1840012950	1840	12950	104	6
1841009652	1841	9652	14	2
1841010089	1841	10089	37	3
1841010710	1841	10710	90	8
1841010716	1841	10716	98	11
1842001843	1842	1843	45	0
1842008872	1842	8872	27	3
1842012957	1842	12957	29	0
1843001842	1843	1842	45	1
1843002013	1843	2013	30	2
1843008328	1843	8328	37	0
1844001851	1844	1851	54	7
1844011228	1844	11228	138	4
1844011582	1844	11582	91	5
1845001846	1845	1846	123	4
1845004258	1845	4258	102	15
1845006510	1845	6510	31	0
1845012918	1845	12918	127	6
1846001845	1846	1845	123	3
1846004258	1846	4258	129	13
1846010161	1846	10161	34	5
1847001856	1847	1856	70	1
1847001916	1847	1916	92	13
1847002607	1847	2607	38	0
1847002608	1847	2608	31	3
1848001849	1848	1849	5	0
1848010161	1848	10161	30	4
1848011588	1848	11588	17	0
1849001848	1849	1848	5	0
1849004674	1849	4674	79	11
