iteration,local_LB,local_UB,LB,UB,gap
1,1775.0,2063.8,1775.0,2063.8,0.139936040313984
2,1838.45,1987.33,1838.45,1987.33,0.07491458388893636
3,1888.48,1977.32,1888.48,1977.32,0.044929500536079095
4,1925.06,2025.54,1925.06,1977.32,0.02642971294479396
5,1948.23,1973.85,1948.23,1973.85,0.012979709704384777
6,1951.74,2041.87,1951.74,1973.85,0.011201459077437446
7,1960.34,2198.23,1960.34,1973.85,0.006844491729361396
8,1966.31,1990.87,1966.31,1973.85,0.003819945791220186
9,1973.85,1973.85,1973.85,1973.85,0.0
CPU time 0.727 second
