linkId	fromNode	toNode	meanTime	stdTime
388000390	388	390	665	99
388000391	388	391	359	48
388000708	388	708	174	7
388000802	388	802	287	40
389000390	389	390	260	13
389000801	389	801	575	82
389000914	389	914	238	27
390000388	390	388	665	5
390000389	390	389	260	14
390000925	390	925	416	52
391000388	391	388	359	39
391000392	391	392	253	18
391000709	391	709	32	1
391000715	391	715	382	2
392000391	392	391	253	24
392000393	392	393	153	13
392000713	392	713	63	6
392000717	392	717	179	5
393000392	393	392	153	22
393000394	393	394	205	16
393000712	393	712	157	10
393000716	393	716	112	10
394000393	394	393	205	11
394000395	394	395	145	16
394000584	394	584	298	18
394000601	394	601	105	14
395000394	395	394	145	16
395000396	395	396	219	16
395000584	395	584	233	29
395000600	395	600	82	6
396000395	396	395	219	22
396000397	396	397	127	13
397000396	397	396	127	5
397000398	397	398	142	19
397000588	397	588	181	9
397000604	397	604	77	4
398000397	398	397	142	17
398000399	398	399	43	4
398000400	398	400	127	10
398000403	398	403	184	12
399000398	399	398	43	5
399000537	399	537	257	12
399000604	399	604	199	23
399000609	399	609	53	1
400000398	400	398	127	4
400000401	400	401	245	10
400000587	400	587	53	2
400000609	400	609	403	54
401000400	401	400	245	12
401000402	401	402	101	12
401000585	401	585	102	13
401000590	401	590	109	6
402000401	402	401	101	10
403000398	403	398	184	4
403000404	403	404	196	23
403000606	403	606	170	19
403000611	403	611	124	4
404000403	404	403	196	4
404000405	404	405	63	6
404000675	404	675	188	19
404000680	404	680	76	5
405000404	405	404	63	1
405000406	405	406	152	22
405000488	405	488	61	8
406000405	406	405	152	3
406000407	406	407	199	6
406000677	406	677	120	10
406000682	406	682	147	15
407000406	407	406	199	14
407000408	407	408	195	13
407000687	407	687	103	9
407000692	407	692	148	13
408000407	408	407	195	15
408000409	408	409	130	8
408000689	408	689	131	13
408000694	408	694	127	2
409000408	409	408	130	15
409000410	409	410	236	32
409000538	409	538	88	11
409000539	409	539	172	16
410000409	410	409	236	34
410000411	410	411	163	5
410000690	410	690	174	7
410000700	410	700	65	5
411000410	411	410	163	9
411000412	411	412	164	24
411000685	411	685	182	8
411000695	411	695	62	2
412000411	412	411	164	2
412000413	412	413	157	5
413000412	413	412	157	12
413000414	413	414	157	8
413000730	413	730	201	20
413000734	413	734	39	5
414000413	414	413	157	4
414000415	414	415	246	26
414000731	414	731	197	7
414000735	414	735	32	4
415000414	415	414	246	6
415000416	415	416	340	19
415000727	415	727	288	42
415000733	415	733	181	5
416000415	416	415	340	10
416000417	416	417	309	26
416000726	416	726	92	0
416000732	416	732	317	23
417000416	417	416	309	40
417000732	417	732	590	32
417000913	417	913	207	14
417000926	417	926	377	35
418000419	418	419	316	39
418000921	418	921	232	3
418000922	418	922	286	22
418000923	418	923	539	64
419000418	419	418	316	0
419000420	419	420	268	31
419000739	419	739	304	27
419000743	419	743	86	4
420000419	420	419	268	13
420000421	420	421	197	21
420000751	420	751	154	9
420000752	420	752	101	12
421000420	421	420	197	2
421000422	421	422	212	23
421000753	421	753	56	5
421000754	421	754	172	10
422000421	422	421	212	17
422000423	422	423	187	14
422000762	422	762	52	5
422000766	422	766	217	26
423000422	423	422	187	25
423000424	423	424	206	26
423000764	423	764	36	3
423000767	423	767	245	17
424000423	424	423	206	2
424000425	424	425	199	2
424000773	424	773	78	7
424000777	424	777	223	24
